course,date,start_time,end_time
2P4/Thermofluid Mechanics (Fluids)[2]L Davies Wykes(Constance Tipper),03/02/2025,14:00,15:00
2CW/Lent Lab (see rota)[2]C (),04/02/2025,09:00,11:00
2P8C/Paper 8: The Engineer in Business (Compulsory)[2]L Coleridge/Lu/Pollitt(Constance Tipper),04/02/2025,11:00,12:00
2P2/Structures[2]L Lees(Constance Tipper),04/02/2025,12:00,13:00
2CW/Lent Lab (see rota)[2]C (),05/02/2025,09:00,11:00
2P5/Electrical Power[2]L Flack(Constance Tipper),05/02/2025,11:00,12:00
2P6/Fourier Transforms/Signal and Data[2]L Mancini(Constance Tipper),05/02/2025,14:00,15:00
2CW/Lent Lab (see rota)[3]C (),06/02/2025,09:00,11:00
2P4/Thermofluid Mechanics (Heat transfer)[3]L Scott(Constance Tipper),06/02/2025,11:00,12:00
2P4/Thermofluid Mechanics (Fluids)[3]L Davies Wykes(Constance Tipper),06/02/2025,11:00,12:00
2P1/Mechanical Engineering[3]L Hunt_HEM(Constance Tipper),06/02/2025,12:00,13:00
2P1/Mechanical Engineering[3]L Hunt_HEM(Constance Tipper),07/02/2025,09:00,10:00
2P7/Probability[3]L Savin(Constance Tipper),07/02/2025,10:00,11:00
2P6/Fourier Transforms/Signal and Data[3]L Mancini(Constance Tipper),07/02/2025,14:00,15:00
2P2/Structures[3]L Lees(Constance Tipper),07/02/2025,15:00,16:00
2P7/Probability[3]L Savin(Constance Tipper),10/02/2025,09:00,10:00
2P5/Electrical Power[3]L Flack(Constance Tipper),10/02/2025,10:00,11:00
2CW/Lent Lab (see rota)[3]C (),10/02/2025,11:00,13:00
2P4/Thermofluid Mechanics (Heat transfer)[3]L Scott(Constance Tipper),10/02/2025,14:00,15:00
2P4/Thermofluid Mechanics (Fluids)[3]L Davies Wykes(Constance Tipper),10/02/2025,14:00,15:00
2P2/Structures[1]L Lees(Constance Tipper),10/02/2025,15:00,16:00
2CW/Lent Lab (see rota)[3]C (),11/02/2025,09:00,11:00
2P8C/Paper 8: The Engineer in Business (Compulsory)[3]L Coleridge/Lu/Pollitt(Constance Tipper),11/02/2025,11:00,12:00
2P2/Structures[3]L Lees(Constance Tipper),11/02/2025,12:00,13:00
2CW/Lent Lab (see rota)[3]C (),12/02/2025,09:00,11:00
2P5/Electrical Power[3]L Flack(Constance Tipper),12/02/2025,11:00,12:00
2P6/Fourier Transforms/Signal and Data[3]L Mancini(Constance Tipper),12/02/2025,14:00,15:00
2CW/Lent Lab (see rota)[4]C (),13/02/2025,09:00,11:00
2P4/Thermofluid Mechanics (Fluids)[4]L Davies Wykes(Constance Tipper),13/02/2025,11:00,12:00
2P4/Thermofluid Mechanics (Heat transfer)[4]L Scott(Constance Tipper),13/02/2025,11:00,12:00
2P1/Mechanical Engineering[4]L Hunt_HEM(Constance Tipper),13/02/2025,12:00,13:00
2P1/Mechanical Engineering[4]L Hunt_HEM(Constance Tipper),14/02/2025,09:00,10:00
2P7/Probability[4]L Savin(Constance Tipper),14/02/2025,10:00,11:00
2P6/Fourier Transforms/Signal and Data[4]L Mancini(Constance Tipper),14/02/2025,14:00,15:00
2P2/Structures[4]L Lees(Constance Tipper),14/02/2025,15:00,16:00
2P5/Electrical Power[4]L Flack(Constance Tipper),17/02/2025,10:00,11:00
2CW/Lent Lab (see rota)[4]C (),17/02/2025,11:00,13:00
2P4/Thermofluid Mechanics (Heat transfer)[4]L Scott(Constance Tipper),17/02/2025,14:00,15:00
2P4/Thermofluid Mechanics (Fluids)[4]L Davies Wykes(Constance Tipper),17/02/2025,14:00,15:00
2CW/Lent Lab (see rota)[4]C (),18/02/2025,09:00,11:00
2P8C/Paper 8: The Engineer in Business (Compulsory)[4]L Coleridge/Lu/Pollitt(Constance Tipper),18/02/2025,11:00,12:00
2CW/Lent Lab (see rota)[4]C (),19/02/2025,09:00,11:00
2P5/Electrical Power[4]L Flack(Constance Tipper),19/02/2025,11:00,12:00
2CW/IDP Introductory lecture[1]L Sapienza(Lecture Theatre 1),20/02/2025,09:00,10:00
2CW/Lent Lab (see rota)[5]C (),20/02/2025,09:00,11:00
2CW/Integrated Coursework: intro lecture[1]L Haigh/Talbot(Lecture Theatre 1),20/02/2025,10:00,11:00
2P4/Thermofluid Mechanics (Heat transfer)[5]L Scott(Constance Tipper),20/02/2025,11:00,12:00
2P4/Thermofluid Mechanics (Fluids)[5]L Davies Wykes(Constance Tipper),20/02/2025,11:00,12:00
2P1/Mechanical Engineering[1]L Cicirello(Constance Tipper),20/02/2025,12:00,13:00
2CW/,20/02/2025,14:00,15:30
2P1/Mechanical Engineering[1]L Cicirello(Constance Tipper),21/02/2025,09:00,10:00
2P7/Linear Algebra[1]L Jarrett(Constance Tipper),21/02/2025,10:00,11:00
2P6/Communications[1]L Venkataramanan(Constance Tipper),21/02/2025,14:00,15:00
2P5/Electromagnetic Fields and Waves[1]L Flewitt(Constance Tipper),24/02/2025,10:00,11:00
2CW/Lent Lab (see rota)[5]C (),24/02/2025,11:00,13:00
2P4/Thermofluid Mechanics (Heat transfer)[5]L Scott(Constance Tipper),24/02/2025,14:00,15:00
2P4/Thermofluid Mechanics (Fluids)[5]L Davies Wykes(Constance Tipper),24/02/2025,14:00,15:00
2CW/Lent Lab (see rota)[5]C (),25/02/2025,09:00,11:00
2P8C/Paper 8: The Engineer in Business (Compulsory)[5]L Coleridge/Lu/Pollitt(Constance Tipper),25/02/2025,11:00,12:00
