course,date,start_time,end_time
1P4/Mathematical Methods[1]L Ahmadian(Constance Tipper),12/02/2025,12:00,13:00
1P2/Structures[3]L McRobie(Constance Tipper),13/02/2025,09:00,10:00
1P2/Materials[3]L Markaki/Seita(Constance Tipper),13/02/2025,10:00,11:00
1CW/Structural Design (see lab rota)[4]L (Lecture Room 3A),13/02/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[4]C (),13/02/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[4]C (),13/02/2025,14:00,17:00
1CW/Lent Lab/Engineering Drawing (see rota)[4]C (),14/02/2025,09:00,11:00
1CW/Structural Design (see lab rota)[2]L (Lecture Room 3A),14/02/2025,09:00,11:00
1P2/Structures[4]L McRobie(Constance Tipper),14/02/2025,11:00,12:00
1P3/Electromagnetics[2]L Joyce(Constance Tipper),14/02/2025,12:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[4]C (),14/02/2025,14:00,17:00
1CW/Lent Lab/Computing (see rota)[4]C (),17/02/2025,09:00,11:00
1CW/Structural Design (see lab rota)[4]L (Lecture Room 3A),17/02/2025,09:00,11:00
1PX/Engineering Applications[2]L Long_PJG(Constance Tipper),17/02/2025,11:00,12:00
1P1/Thermofluid Mechanics[4]L Atkins/Longley(Constance Tipper),17/02/2025,12:00,13:00
1CW/Engineering Drawing[1]L Crilly(Constance Tipper),17/02/2025,13:00,13:30
1CW/Lent Lab/Computing (see rota)[4]C (),17/02/2025,14:00,17:00
1P4/Mathematical Methods[2]L Ahmadian(Constance Tipper),18/02/2025,09:00,10:00
1P3/Electromagnetics[2]L Joyce(Constance Tipper),18/02/2025,10:00,11:00
1CW/Lent Lab/Computing (see rota)[4]C (),18/02/2025,11:00,13:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),18/02/2025,11:00,13:00
1CW/Lent Lab/Computing (see rota)[4]C (),18/02/2025,14:00,17:00
1P2/Materials[2]L Seita(Constance Tipper),19/02/2025,09:00,10:00
1P1/Thermofluid Mechanics[4]L Atkins/Longley(Constance Tipper),19/02/2025,10:00,11:00
1P4/Mathematical Methods[2]L Ahmadian(Constance Tipper),19/02/2025,12:00,13:00
1P2/Structures[4]L McRobie(Constance Tipper),20/02/2025,09:00,10:00
1P2/Materials[4]L Markaki/Seita(Constance Tipper),20/02/2025,10:00,11:00
1CW/Structural Design (see lab rota)[5]L (Lecture Room 3A),20/02/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[5]C (),20/02/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[5]C (),20/02/2025,14:00,17:00
1CW/Lent Lab/Engineering Drawing (see rota)[5]C (),21/02/2025,09:00,11:00
1CW/Structural Design (see lab rota)[3]L (Lecture Room 3A),21/02/2025,09:00,11:00
1P2/Structures[5]L McRobie(Constance Tipper),21/02/2025,11:00,12:00
1P3/Electromagnetics[3]L Joyce(Constance Tipper),21/02/2025,12:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[5]C (),21/02/2025,14:00,17:00
1CW/Structural Design (see lab rota)[5]L (Lecture Room 3A),24/02/2025,09:00,11:00
1CW/Lent Lab/Computing (see rota)[5]C (),24/02/2025,09:00,11:00
1PX/Engineering Applications[3]L Long_PJG(Constance Tipper),24/02/2025,11:00,12:00
1P1/Thermofluid Mechanics[5]L Atkins/Longley(Constance Tipper),24/02/2025,12:00,13:00
1CW/Lent Lab/Computing (see rota)[5]C (),24/02/2025,14:00,17:00
1P4/Mathematical Methods[3]L Ahmadian(Constance Tipper),25/02/2025,09:00,10:00
1P3/Electromagnetics[3]L Joyce(Constance Tipper),25/02/2025,10:00,11:00
1CW/Lent Lab/Computing (see rota)[5]C (),25/02/2025,11:00,13:00
1CW/Structural Design (see lab rota)[2]L (Lecture Room 3A),25/02/2025,11:00,13:00
1CW/Lent Lab/Computing (see rota)[5]C (),25/02/2025,14:00,17:00
1P2/Materials[3]L Seita(Constance Tipper),26/02/2025,09:00,10:00
1P1/Thermofluid Mechanics[5]L Atkins/Longley(Constance Tipper),26/02/2025,10:00,11:00
1P4/Mathematical Methods[3]L Ahmadian(Constance Tipper),26/02/2025,12:00,13:00
1P1/Mechanical Vibrations[1]L Talbot(Constance Tipper),27/02/2025,09:00,10:00
1P2/Materials[5]L Markaki/Seita(Constance Tipper),27/02/2025,10:00,11:00
1CW/Structural Design (see lab rota)[6]L (Lecture Room 3A),27/02/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[6]C (),27/02/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[6]C (),27/02/2025,14:00,17:00
1CW/Lent Lab/Engineering Drawing (see rota)[6]C (),28/02/2025,09:00,11:00
1P2/Structures[6]L McRobie(Constance Tipper),28/02/2025,11:00,12:00
1P3/Digital Circuits and Information Processing[1]L Hasan(Constance Tipper),28/02/2025,12:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[6]C (),28/02/2025,14:00,17:00
1CW/Structural Design (see lab rota)[6]L (Lecture Room 3A),03/03/2025,09:00,11:00
1CW/Lent Lab/Computing (see rota)[6]C (),03/03/2025,09:00,11:00
1PX/Engineering Applications[4]L Long_PJG(Constance Tipper),03/03/2025,11:00,12:00
1P1/Thermofluid Mechanics[6]L Atkins/Longley(Constance Tipper),03/03/2025,12:00,13:00
1CW/Lent Lab/Computing (see rota)[6]C (),03/03/2025,14:00,17:00
1P4/Mathematical Methods[4]L Ahmadian(Constance Tipper),04/03/2025,09:00,10:00
1P3/Digital Circuits and Information Processing[1]L Hasan(Constance Tipper),04/03/2025,10:00,11:00
1CW/Lent Lab/Computing (see rota)[6]C (),04/03/2025,11:00,13:00
1CW/Lent Lab/Computing (see rota)[6]C (),04/03/2025,14:00,17:00
1P1/Mechanical Vibrations[1]L Talbot(Constance Tipper),05/03/2025,09:00,10:00
1P1/Thermofluid Mechanics[6]L Atkins/Longley(Constance Tipper),05/03/2025,10:00,11:00
1P4/Mathematical Methods[4]L Ahmadian(Constance Tipper),05/03/2025,12:00,13:00
1P1/Mechanical Vibrations[2]L Talbot(Constance Tipper),06/03/2025,09:00,10:00
1P2/Materials[6]L Markaki/Seita(Constance Tipper),06/03/2025,10:00,11:00
1CW/Structural Design (see lab rota)[7]L (Lecture Room 3A),06/03/2025,11:00,13:00
1CW/Lent Lab/Engineering Drawing (see rota)[7]C (),06/03/2025,11:00,13:00
